product_category_name,Số đơn,Tổng doanh thu,TB doanh thu,Độ lệch chuẩn,Min,Max
"bebes,moveis_sala",1,244.89,244.89,,244.89,244.89
"esporte_lazer,informatica_acessorios",1,241.9,241.9,,241.9,241.9
"informatica_acessorios,papelaria",2,241.89,120.94,32.6,97.89,144.0
"beleza_saude,market_place",2,241.89,120.94,2.91,118.89,123.0
"cama_mesa_banho,market_place,perfumaria",1,241.79,241.79,,241.79,241.79
"bebes,moveis_quarto",1,238.9,238.9,,238.9,238.9
"esporte_lazer,moveis_decoracao",2,236.48,118.24,30.05,96.99,139.49
"ferramentas_jardim,la_cuisine",1,236.0,236.0,,236.0,236.0
"casa_construcao,moveis_decoracao,utilidades_domesticas",1,229.7,229.7,,229.7,229.7
"brinquedos,nan",1,224.9,224.9,,224.9,224.9
"brinquedos,consoles_games",2,223.78,111.89,82.02,53.89,169.89
"alimentos,telefonia_fixa",1,221.49,221.49,,221.49,221.49
"bebidas,utilidades_domesticas",2,219.9,109.95,5.73,105.9,114.0
"bebes,beleza_saude",1,219.89,219.89,,219.89,219.89
"bebes,fashion_bolsas_e_acessorios",3,218.6,72.87,18.99,61.9,94.8
"industria_comercio_e_negocios,moveis_escritorio",1,217.99,217.99,,217.99,217.99
"beleza_saude,telefonia",2,216.88,108.44,93.99,41.98,174.9
"consoles_games,utilidades_domesticas",1,215.97,215.97,,215.97,215.97
"alimentos,esporte_lazer",1,215.5,215.5,,215.5,215.5
"eletroportateis,moveis_decoracao",1,214.0,214.0,,214.0,214.0
"instrumentos_musicais,market_place",1,208.8,208.8,,208.8,208.8
"relogios_presentes,telefonia",2,208.49,104.24,15.2,93.5,114.99
"casa_construcao,utilidades_domesticas",1,204.75,204.75,,204.75,204.75
"cama_mesa_banho,moveis_quarto",1,202.8,202.8,,202.8,202.8
"cama_mesa_banho,eletronicos",1,197.89,197.89,,197.89,197.89
"moveis_decoracao,relogios_presentes,utilidades_domesticas",1,197.89,197.89,,197.89,197.89
"brinquedos,moveis_cozinha_area_de_servico_jantar_e_jardim",1,196.8,196.8,,196.8,196.8
"bebidas,esporte_lazer",2,193.08,96.54,73.62,44.48,148.6
"climatizacao,esporte_lazer",1,192.9,192.9,,192.9,192.9
"moveis_decoracao,pet_shop",1,191.36,191.36,,191.36,191.36
"cama_mesa_banho,eletrodomesticos_2",1,190.9,190.9,,190.9,190.9
"market_place,utilidades_domesticas",2,190.88,95.44,15.05,84.8,106.08
"bebes,esporte_lazer",1,189.99,189.99,,189.99,189.99
